emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,months_since_last_delinq,total_credit_lines,account_never_delinq_percent,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,loan_status
case manager,3.0,NY,RENT,70000.0,Source Verified,5.55,0,,13,81.8,debt_consolidation,joint,35000,36,18.06,1266.39,D,Current
ophthalmic technician,3.0,RI,MORTGAGE,50000.0,Source Verified,25.81,4,7.0,18,55.6,debt_consolidation,joint,7000,36,17.09,249.89,D,Current
courier,4.0,TX,OWN,35000.0,Source Verified,11.04,0,,12,100.0,debt_consolidation,individual,8000,36,18.06,289.47,D,Current
school counselor,10.0,CA,RENT,62000.0,Not Verified,29.11,0,71.0,17,86.7,vacation,individual,3500,36,12.61,117.28,C,Current
,,FL,RENT,45000.0,Source Verified,24.67,0,,11,100.0,debt_consolidation,individual,10000,36,10.42,324.65,B,Current
route safety and compliance manager ,5.0,TX,MORTGAGE,120000.0,Source Verified,15.0,1,19.0,22,90.0,debt_consolidation,individual,10000,36,16.02,351.67,C,Current
client advisor,10.0,IL,MORTGAGE,150000.0,Not Verified,16.54,0,43.0,19,57.9,credit_card,individual,13000,36,9.92,418.99,B,Current
supervisor ,10.0,KS,MORTGAGE,61000.0,Source Verified,24.97,0,,16,100.0,debt_consolidation,individual,10000,36,10.41,324.61,B,Current
teacher ,1.0,FL,RENT,38500.0,Not Verified,6.42,2,4.0,24,75.0,credit_card,individual,6050,36,15.05,209.88,C,Current
registration coordinator,10.0,NY,RENT,40390.0,Source Verified,14.98,0,,30,100.0,debt_consolidation,individual,9600,36,10.41,311.62,B,Current
new property coordinator,0.0,TN,OWN,30000.0,Verified,23.44,0,,26,100.0,credit_card,individual,14000,36,12.62,469.16,C,Current
validation engineering advisor,5.0,CA,RENT,90000.0,Not Verified,23.43,0,,22,100.0,medical,individual,16000,36,6.08,487.34,A,Current
delivery driver,1.0,TX,RENT,43000.0,Source Verified,19.62,0,27.0,21,85.7,debt_consolidation,individual,10000,36,18.06,361.83,D,Current
apps dev consultant,9.0,NJ,OWN,99000.0,Source Verified,20.69,0,,24,100.0,credit_card,individual,15000,36,11.98,498.08,B,Current
cna,2.0,CT,RENT,65000.0,Source Verified,19.58,0,,34,100.0,debt_consolidation,joint,21000,60,14.07,489.4,C,Current
truck driver,9.0,MA,MORTGAGE,120000.0,Verified,20.66,0,49.0,19,94.4,house,individual,10000,36,7.97,313.23,A,Current
metal fabricator ,10.0,NY,OWN,50000.0,Verified,29.67,0,,19,100.0,credit_card,individual,6000,36,11.98,199.23,B,Late (16-30 days)
respiratory therapist,10.0,CA,MORTGAGE,110000.0,Source Verified,29.29,0,,27,100.0,debt_consolidation,individual,14425,36,10.9,471.58,B,Current
network security engineer,5.0,CA,RENT,103000.0,Not Verified,12.87,0,,15,100.0,other,individual,10000,36,6.72,307.5,A,Current
driver,2.0,ID,MORTGAGE,180000.0,Source Verified,4.43,0,26.0,10,80.0,debt_consolidation,joint,35000,60,14.07,815.66,C,Current
owner,2.0,UT,RENT,85000.0,Source Verified,19.02,1,15.0,20,95.0,debt_consolidation,individual,22000,60,25.82,656.35,E,Current
financial analyst,1.0,CO,MORTGAGE,72100.0,Not Verified,30.78,1,23.0,56,94.4,credit_card,individual,12000,36,12.62,402.14,C,Fully Paid
counselor,3.0,CA,OWN,35000.0,Source Verified,14.81,0,44.0,8,87.5,debt_consolidation,individual,8000,36,10.91,261.57,B,Current
supervisor call center,0.0,CA,RENT,28000.0,Source Verified,4.71,0,,4,100.0,debt_consolidation,joint,21000,60,26.77,638.36,E,Current
colonel ,10.0,TX,MORTGAGE,156000.0,Source Verified,18.05,0,80.0,31,96.7,home_improvement,individual,36000,36,5.32,1084.14,A,Current
trainer,2.0,SC,MORTGAGE,147000.0,Source Verified,18.34,0,25.0,57,64.9,credit_card,individual,14000,36,10.41,454.45,B,Current
security guard ,2.0,LA,RENT,50000.0,Not Verified,20.81,2,22.0,16,63.0,debt_consolidation,individual,7475,36,18.06,270.47,D,Current
commercial loan underwriter ,10.0,CA,OWN,150000.0,Not Verified,10.68,0,,16,100.0,credit_card,individual,2800,36,9.44,89.62,B,Current
package driver ,10.0,CO,RENT,130000.0,Source Verified,31.19,1,9.0,35,97.1,home_improvement,individual,18000,36,10.41,584.29,B,Current
carpenter,10.0,WA,MORTGAGE,75000.0,Verified,13.76,0,25.0,24,95.8,debt_consolidation,individual,16000,36,17.09,571.17,D,Current
it technician,10.0,NV,RENT,76000.0,Not Verified,20.51,0,,33,100.0,debt_consolidation,joint,12000,60,9.44,251.68,B,Current
sr project manager,2.0,TX,RENT,90000.0,Verified,24.99,1,18.0,26,100.0,debt_consolidation,individual,10000,60,21.45,273.08,D,Current
book keeper,10.0,NY,RENT,95000.0,Not Verified,19.63,0,47.0,20,85.0,debt_consolidation,individual,40000,36,9.43,1280.01,B,Current
claims supervisor,9.0,KS,RENT,59000.0,Source Verified,10.2,0,52.0,11,72.7,other,individual,5000,36,9.93,161.18,B,Current
letter carrier,10.0,NY,MORTGAGE,62000.0,Source Verified,14.52,1,4.0,28,96.4,other,individual,17000,60,13.59,391.96,C,Fully Paid
server,1.0,NY,RENT,70000.0,Source Verified,2.26,0,,8,100.0,credit_card,individual,10000,36,6.72,307.5,A,Current
sales professional,10.0,NY,OWN,50000.0,Verified,4.5,1,23.0,8,87.5,debt_consolidation,individual,16000,60,26.3,481.9,E,Current
office manager`,10.0,NJ,RENT,65000.0,Source Verified,26.43,0,,22,100.0,medical,individual,30000,36,21.85,1143.39,D,In Grace Period
machine operator,10.0,NJ,RENT,50000.0,Not Verified,21.87,0,,25,100.0,debt_consolidation,individual,20000,36,15.04,693.7,C,Current
financial advisor,0.0,VA,RENT,64000.0,Source Verified,13.22,0,,25,100.0,other,individual,20800,36,10.41,675.17,B,Current
technician,10.0,MA,RENT,90000.0,Not Verified,7.96,0,,15,100.0,debt_consolidation,individual,24000,36,6.71,737.88,A,Current
,,IN,RENT,32800.0,Not Verified,29.09,0,,23,100.0,debt_consolidation,individual,3800,36,7.35,117.95,A,Fully Paid
cto,8.0,MD,MORTGAGE,200000.0,Not Verified,16.26,0,25.0,27,92.6,major_purchase,individual,9500,36,6.07,289.31,A,Current
president ,10.0,IL,RENT,75000.0,Source Verified,12.58,0,63.0,15,93.3,debt_consolidation,individual,30000,60,13.59,691.69,C,Current
manager,4.0,CA,RENT,65000.0,Not Verified,12.98,0,,7,100.0,credit_card,individual,5075,36,5.32,152.84,A,Current
assistant director ,10.0,NC,MORTGAGE,118000.0,Source Verified,11.49,0,28.0,13,76.9,debt_consolidation,individual,20000,60,13.58,461.03,C,Current
logistics nco,9.0,OH,MORTGAGE,65800.0,Verified,28.07,0,38.0,22,95.5,debt_consolidation,joint,30000,60,24.84,877.73,E,Current
owner,8.0,OK,RENT,30000.0,Not Verified,16.16,0,,25,100.0,debt_consolidation,individual,15000,60,21.45,409.61,D,Current
pricing,7.0,IL,MORTGAGE,41000.0,Verified,72.89,0,,36,100.0,other,joint,15000,36,7.96,469.77,A,Current
vocational counselor,2.0,IL,RENT,56000.0,Not Verified,24.65,0,54.0,28,88.5,debt_consolidation,individual,10000,60,21.45,273.08,D,Current
system engineer,0.0,CA,RENT,130000.0,Source Verified,0.09,0,,4,100.0,other,individual,10000,36,7.35,310.38,A,Fully Paid
teaching assistant iii,3.0,CO,RENT,48000.0,Not Verified,20.48,0,,32,100.0,medical,individual,16000,36,10.91,523.14,B,Current
tech,6.0,OH,OWN,32000.0,Source Verified,27.53,0,,17,100.0,credit_card,individual,11200,60,17.47,281.19,D,Current
medical deliver driver,5.0,WI,MORTGAGE,40000.0,Verified,2.97,0,,10,100.0,other,individual,6000,36,10.42,194.79,B,Fully Paid
load builder,10.0,MO,MORTGAGE,27511.0,Verified,0.0,0,,12,100.0,debt_consolidation,joint,15000,36,6.71,461.18,A,Current
it consultant,4.0,MA,MORTGAGE,70000.0,Not Verified,17.28,0,,34,100.0,debt_consolidation,individual,10000,36,7.35,310.38,A,Current
pilot,10.0,TX,MORTGAGE,190000.0,Source Verified,13.81,0,64.0,25,91.7,home_improvement,individual,30000,60,28.72,947.15,F,Current
managment systems support,3.0,GA,MORTGAGE,68200.0,Verified,22.59,0,30.0,23,95.7,debt_consolidation,individual,12000,60,17.09,298.82,D,Current
asset protection specialist,3.0,CO,RENT,35860.0,Verified,17.67,0,,9,100.0,debt_consolidation,individual,13000,60,15.05,309.62,C,Current
housekeeping supervisor,3.0,NE,RENT,28600.0,Not Verified,24.13,0,51.0,20,85.0,debt_consolidation,individual,10000,60,14.08,233.1,C,Current
food server,9.0,NV,RENT,38000.0,Verified,29.31,0,44.0,12,83.3,debt_consolidation,individual,6000,36,16.02,211.01,C,Current
owner,2.0,CA,MORTGAGE,90000.0,Verified,30.31,2,1.0,16,81.0,other,individual,18000,60,16.02,437.92,C,Current
attorney - member,8.0,VT,MORTGAGE,350000.0,Source Verified,11.98,0,,23,100.0,credit_card,individual,15000,36,12.61,502.6,C,Current
ramp agent ,0.0,MD,RENT,20000.0,Source Verified,32.65,0,,8,100.0,credit_card,individual,5000,36,5.32,150.58,A,Current
patient account coordinator,10.0,NJ,RENT,65000.0,Source Verified,24.19,1,19.0,29,96.0,debt_consolidation,individual,12000,36,17.47,430.65,D,Current
fiscal assistant ,2.0,WA,RENT,51000.0,Verified,22.66,0,,23,100.0,debt_consolidation,individual,20000,36,17.47,717.75,D,Fully Paid
,,CA,MORTGAGE,70000.0,Verified,39.43,0,,21,100.0,credit_card,joint,16000,60,17.09,398.42,D,Fully Paid
director of property management,9.0,MN,MORTGAGE,85000.0,Source Verified,36.93,0,70.0,37,94.6,credit_card,joint,35000,36,21.85,1333.96,D,Current
teacher,10.0,FL,OWN,71000.0,Not Verified,10.29,0,28.0,21,78.9,debt_consolidation,individual,14000,36,15.04,485.59,C,Current
,,SC,MORTGAGE,118000.0,Verified,16.08,0,51.0,33,97.0,credit_card,individual,40000,60,11.98,889.38,B,Current
vp & chief compliance officer,9.0,MA,MORTGAGE,232000.0,Source Verified,12.91,0,25.0,27,96.3,other,individual,16450,60,10.42,352.93,B,Current
work houseman,10.0,CA,MORTGAGE,30000.0,Verified,8.36,0,,8,100.0,credit_card,individual,6500,36,9.43,208.01,B,Current
transportation services,6.0,NC,MORTGAGE,66000.0,Source Verified,9.55,0,,9,100.0,home_improvement,individual,8000,36,18.45,291.03,D,Current
foreman ,10.0,GA,MORTGAGE,68000.0,Verified,34.91,0,,30,100.0,debt_consolidation,joint,20000,60,20.0,529.88,D,Current
captain,1.0,CA,RENT,82000.0,Not Verified,10.13,0,58.0,16,53.3,credit_card,individual,7800,36,5.32,234.9,A,Current
sr network engineer,10.0,CA,MORTGAGE,78000.0,Not Verified,4.48,0,65.0,14,85.7,credit_card,individual,6000,36,6.08,182.75,A,Current
retail,7.0,FL,MORTGAGE,40000.0,Not Verified,22.85,0,60.0,21,81.0,home_improvement,individual,6300,36,15.04,218.52,C,Current
staff accountant,10.0,NY,RENT,91275.0,Verified,10.73,1,4.0,18,77.8,other,individual,4000,36,15.04,138.74,C,Current
pipe fitter,3.0,CA,RENT,35000.0,Source Verified,4.15,0,,3,100.0,debt_consolidation,joint,2750,36,13.59,93.45,C,Current
police officer,10.0,FL,MORTGAGE,110000.0,Source Verified,23.85,1,12.0,38,94.7,debt_consolidation,individual,22000,60,9.92,466.57,B,Current
program analyst iii,10.0,MI,RENT,64000.0,Not Verified,22.67,0,,14,100.0,credit_card,individual,22000,60,12.62,496.3,C,Current
ramen chef,3.0,WA,RENT,35000.0,Source Verified,8.78,0,,3,100.0,other,individual,10000,60,14.08,233.1,C,Current
operations manager,9.0,VA,RENT,29415.0,Not Verified,9.96,0,,12,100.0,credit_card,individual,10275,60,25.81,306.49,E,Current
,,SC,MORTGAGE,125000.0,Source Verified,6.15,0,62.0,20,95.0,major_purchase,individual,35000,60,18.45,897.37,D,Current
cfm specialist,4.0,VA,RENT,86000.0,Not Verified,12.38,0,,9,100.0,credit_card,individual,3600,36,7.97,112.77,A,Current
president,10.0,OR,MORTGAGE,250000.0,Source Verified,28.67,0,46.0,39,97.4,credit_card,individual,40000,36,9.92,1289.19,B,Current
truck driver,0.0,CA,RENT,48000.0,Source Verified,16.04,0,,11,100.0,debt_consolidation,individual,20000,36,13.59,679.58,C,Current
equal employment officer,8.0,CO,MORTGAGE,111000.0,Verified,14.29,1,12.0,49,91.8,debt_consolidation,individual,26000,60,11.98,578.1,B,Current
manager,4.0,TX,RENT,35000.0,Not Verified,36.52,1,13.0,14,92.9,credit_card,individual,10000,36,13.59,339.79,C,Current
shipping manager,4.0,PA,RENT,32000.0,Source Verified,20.59,0,35.0,17,87.5,debt_consolidation,individual,12900,36,16.02,453.66,C,Current
owner,7.0,MA,RENT,61846.0,Not Verified,29.07,0,77.0,34,97.1,small_business,individual,15000,36,15.05,520.35,C,Current
senior systems analyst,6.0,WA,RENT,115000.0,Not Verified,9.71,0,36.0,19,94.7,debt_consolidation,individual,7200,36,10.9,235.38,B,Current
data scientist/ developer ,1.0,MD,MORTGAGE,122000.0,Source Verified,24.59,0,24.0,30,96.7,small_business,individual,28000,60,15.04,666.71,C,Fully Paid
bookkeeping/audit,10.0,MN,RENT,38700.0,Verified,57.02,0,56.0,34,97.1,debt_consolidation,joint,36400,60,15.04,866.72,C,Current
branch manager,10.0,CA,RENT,59000.0,Not Verified,21.79,0,,12,100.0,debt_consolidation,individual,12500,36,11.98,415.06,B,Current
operations manager,2.0,CA,RENT,80000.0,Not Verified,10.62,2,,22,100.0,debt_consolidation,individual,15000,36,7.96,469.77,A,Current
registered nurse,10.0,KY,OWN,62000.0,Not Verified,13.16,0,59.0,28,85.7,debt_consolidation,individual,6000,36,9.92,193.38,B,Current
er receptionist,2.0,ID,MORTGAGE,74400.0,Source Verified,33.19,1,23.0,45,97.7,home_improvement,joint,20000,36,14.08,684.33,C,Current
clinical nurse supervisor ,10.0,SC,OWN,70000.0,Source Verified,10.5,0,,5,100.0,debt_consolidation,individual,20000,36,6.08,609.17,A,Current
radiation therapist,10.0,MN,MORTGAGE,86000.0,Verified,14.54,1,14.0,32,74.2,debt_consolidation,individual,10000,60,12.61,225.54,C,Current
cna,10.0,MA,MORTGAGE,37000.0,Not Verified,24.98,0,34.0,26,88.5,debt_consolidation,individual,10000,36,16.02,351.67,C,Current
staffing manager,0.0,TX,RENT,164000.0,Not Verified,8.62,0,,20,100.0,credit_card,individual,20000,36,5.31,602.21,A,Current
,,GA,RENT,25700.0,Not Verified,17.98,1,23.0,34,97.0,medical,individual,5000,36,6.08,152.3,A,Current
asm - managee,10.0,MN,MORTGAGE,55000.0,Verified,27.53,0,38.0,28,82.1,debt_consolidation,individual,6000,36,18.45,218.28,D,Current
dispatcher,5.0,NV,MORTGAGE,30000.0,Not Verified,62.48,1,17.0,33,69.7,home_improvement,joint,32000,36,9.44,1024.16,B,Current
,,MO,RENT,55000.0,Not Verified,30.87,0,,51,100.0,debt_consolidation,individual,12000,36,6.07,365.45,A,Current
sales manager ,2.0,FL,MORTGAGE,101000.0,Source Verified,15.48,0,,14,100.0,credit_card,individual,40000,36,9.44,1280.2,B,Current
office manager,2.0,MA,RENT,32000.0,Verified,27.19,0,,6,100.0,debt_consolidation,joint,17000,60,16.02,413.59,C,Current
purchasing agent i,0.0,MO,RENT,55000.0,Not Verified,16.78,0,55.0,51,97.5,credit_card,individual,10000,36,6.07,304.54,A,Current
bdc rep,0.0,CA,RENT,39000.0,Verified,15.17,0,53.0,11,81.8,other,individual,30000,60,25.82,895.02,E,Current
,,GA,OWN,32844.0,Source Verified,20.94,0,42.0,13,92.3,medical,joint,3500,36,15.05,121.42,C,Current
counselor,10.0,VA,MORTGAGE,43125.0,Not Verified,22.49,0,66.0,27,96.3,debt_consolidation,individual,8000,36,6.07,243.63,A,Current
pr director,1.0,CA,MORTGAGE,185000.0,Source Verified,9.71,1,10.0,24,91.7,credit_card,joint,30000,36,7.97,939.68,A,Current
parts sales,10.0,CA,MORTGAGE,63000.0,Verified,17.54,0,,12,83.0,debt_consolidation,individual,21500,60,11.99,478.15,B,In Grace Period
rn,2.0,AL,OWN,94000.0,Source Verified,38.15,1,16.0,20,90.0,credit_card,individual,30000,36,18.45,1091.36,D,Current
police officer,10.0,TX,MORTGAGE,70000.0,Verified,25.63,0,28.0,17,94.1,credit_card,individual,6600,36,9.92,212.72,B,Current
manager,5.0,MA,MORTGAGE,70000.0,Verified,35.64,0,,53,100.0,debt_consolidation,individual,21600,36,13.59,733.95,C,Current
technical support specialist,2.0,OH,RENT,31000.0,Source Verified,5.27,0,,4,100.0,home_improvement,joint,22000,36,9.43,704.01,B,Current
registered nurse,3.0,CA,MORTGAGE,100000.0,Source Verified,4.38,1,20.0,6,83.3,home_improvement,individual,20000,60,16.01,486.47,C,Current
sr appraiser,10.0,CA,RENT,130000.0,Source Verified,9.55,0,,15,100.0,debt_consolidation,individual,19000,60,11.98,422.46,B,Current
loan processor,2.0,CA,MORTGAGE,135000.0,Source Verified,14.18,0,,48,100.0,debt_consolidation,individual,9600,36,10.91,313.89,B,Current
,,GA,OWN,50000.0,Not Verified,24.11,0,,11,100.0,credit_card,individual,12000,36,6.71,368.94,A,Current
bestro,1.0,SC,MORTGAGE,40000.0,Source Verified,26.19,0,29.0,30,90.0,debt_consolidation,individual,3000,36,11.98,99.62,B,Fully Paid
plan sponsor service consultant,10.0,PA,RENT,50000.0,Not Verified,9.22,0,,13,100.0,credit_card,individual,9000,36,11.99,298.89,B,Current
machine operator,8.0,WI,RENT,46000.0,Verified,7.54,0,,8,100.0,other,individual,16000,60,9.92,339.33,B,Current
sales,5.0,TX,OWN,27000.0,Verified,9.47,0,,20,100.0,other,joint,12850,36,11.98,426.69,B,Current
police officer,9.0,TX,MORTGAGE,77500.0,Verified,20.33,0,,32,100.0,other,individual,15000,36,6.08,456.88,A,Current
,,AR,RENT,60000.0,Not Verified,16.32,0,,29,100.0,debt_consolidation,individual,18000,36,6.08,548.25,A,Current
k9 sgt ,10.0,AR,OWN,44000.0,Not Verified,3.33,0,,16,100.0,debt_consolidation,individual,10000,36,7.96,313.18,A,Current
support,10.0,MA,RENT,26000.0,Source Verified,24.75,0,,12,100.0,debt_consolidation,joint,12000,60,9.93,254.56,B,Current
social worker,0.0,AZ,RENT,52000.0,Source Verified,12.65,0,,14,100.0,debt_consolidation,individual,8250,36,6.71,253.65,A,Current
sales,3.0,PA,MORTGAGE,150000.0,Not Verified,8.7,1,18.0,29,96.6,debt_consolidation,individual,28000,36,10.91,915.5,B,Current
maintenance supervisor,10.0,IN,MORTGAGE,104000.0,Source Verified,13.39,0,,14,100.0,debt_consolidation,individual,35000,60,19.03,908.5,D,Fully Paid
,,WV,MORTGAGE,110000.0,Not Verified,19.4,1,16.0,49,91.8,credit_card,individual,8000,36,9.93,257.88,B,Current
premise technician,5.0,IN,MORTGAGE,50000.0,Source Verified,14.33,0,,9,100.0,credit_card,individual,15000,36,7.34,465.5,A,Current
inventory analyst ,8.0,CO,RENT,55200.0,Source Verified,22.17,0,38.0,26,95.7,debt_consolidation,individual,8000,36,15.04,277.48,C,Current
sr it business analyst,3.0,SC,RENT,87000.0,Source Verified,18.41,0,29.0,25,88.0,other,individual,13000,60,18.45,333.31,D,Current
senior executive chef,7.0,AZ,MORTGAGE,98000.0,Source Verified,10.71,0,,29,100.0,debt_consolidation,joint,28500,60,9.44,597.72,B,Current
vp tech support andtraining,10.0,CA,MORTGAGE,110000.0,Not Verified,17.35,0,79.0,14,92.9,debt_consolidation,individual,17000,36,6.08,517.79,A,Current
order fulfillment coordinator,5.0,VA,RENT,51000.0,Source Verified,28.24,0,,22,100.0,debt_consolidation,individual,22400,36,7.35,695.24,A,Current
maintenance,10.0,AL,MORTGAGE,60000.0,Source Verified,23.58,0,35.0,27,96.3,home_improvement,individual,4000,36,13.59,135.92,C,Current
wrapper,10.0,CO,MORTGAGE,25000.0,Source Verified,29.67,0,,9,100.0,debt_consolidation,joint,35950,60,17.09,895.2,D,Current
management analyst ,10.0,VA,MORTGAGE,110000.0,Verified,27.29,0,,61,100.0,debt_consolidation,individual,35000,60,10.91,759.42,B,Current
,,CA,MORTGAGE,72000.0,Verified,25.2,0,,55,100.0,debt_consolidation,individual,5000,36,13.59,169.9,C,Current
driver,1.0,MA,RENT,25000.0,Source Verified,15.56,0,,4,100.0,credit_card,individual,3900,36,5.32,117.45,A,Current
parts manager,10.0,KS,MORTGAGE,90000.0,Source Verified,15.71,0,30.0,15,86.7,home_improvement,individual,11000,36,10.91,359.66,B,Current
office manager,10.0,CA,RENT,83600.0,Verified,23.94,0,,58,100.0,debt_consolidation,individual,14400,60,16.01,350.26,C,Current
manager,5.0,TN,OWN,70000.0,Source Verified,8.86,0,,12,100.0,small_business,joint,40000,60,10.42,858.18,B,Current
first level officer,9.0,MI,MORTGAGE,61000.0,Source Verified,11.82,0,37.0,21,90.5,credit_card,individual,2500,36,9.43,80.01,B,Current
regional rep,6.0,ND,MORTGAGE,63000.0,Source Verified,9.31,0,,54,100.0,debt_consolidation,individual,14400,60,9.43,301.94,B,Current
rda,5.0,CA,RENT,50000.0,Source Verified,20.93,0,,19,100.0,credit_card,individual,7150,36,6.07,217.75,A,Current
manager admin services,10.0,CO,MORTGAGE,65000.0,Source Verified,24.02,0,,29,100.0,home_improvement,individual,22000,60,11.99,489.27,B,Current
chief unified network communications brn,10.0,TX,MORTGAGE,109000.0,Not Verified,14.76,0,57.0,59,72.9,house,individual,5000,36,10.42,162.33,B,Current
national strategic account manager,3.0,NC,MORTGAGE,210000.0,Source Verified,8.75,3,12.0,16,81.3,home_improvement,individual,32000,36,14.07,1094.78,C,Current
clerk,10.0,GA,MORTGAGE,57626.0,Not Verified,18.34,0,54.0,28,92.9,debt_consolidation,joint,25600,36,13.59,869.86,C,Current
regional manager,10.0,TX,MORTGAGE,145000.0,Not Verified,20.75,0,80.0,27,96.0,debt_consolidation,individual,10700,36,10.9,349.8,B,Current
,,CO,RENT,37000.0,Verified,36.72,0,,11,100.0,credit_card,joint,24000,60,14.08,559.44,C,Current
director of operations,2.0,IL,MORTGAGE,91000.0,Source Verified,19.57,0,,27,100.0,credit_card,individual,32000,60,11.98,711.5,B,Current
police officer,10.0,CA,MORTGAGE,209000.0,Source Verified,19.76,0,52.0,39,94.9,debt_consolidation,individual,24000,60,11.99,533.75,B,Fully Paid
regional director of operations,3.0,NV,MORTGAGE,125000.0,Source Verified,23.77,0,36.0,34,68.0,credit_card,individual,30000,60,11.99,667.19,B,Current
owner,2.0,NY,RENT,105000.0,Not Verified,11.61,0,,23,100.0,car,individual,4200,36,6.71,129.13,A,Current
recruiter,10.0,PA,MORTGAGE,72000.0,Not Verified,24.86,0,,15,100.0,debt_consolidation,individual,40000,36,9.92,1289.19,B,Current
stna ,8.0,OH,OWN,40800.0,Verified,19.41,0,,16,100.0,major_purchase,individual,15000,60,10.9,325.39,B,Current
solution architect,10.0,NY,MORTGAGE,130000.0,Not Verified,29.11,0,81.0,40,97.5,credit_card,individual,12000,36,9.93,386.82,B,Current
corporate business analyst,5.0,MD,OWN,71500.0,Not Verified,5.79,1,21.0,30,96.7,debt_consolidation,individual,12000,36,11.99,398.52,B,Current
finance director ,10.0,IL,MORTGAGE,70000.0,Not Verified,22.92,0,63.0,30,96.7,credit_card,individual,25000,36,5.32,752.87,A,Current
account manager,0.0,NH,OWN,70000.0,Source Verified,27.64,0,,47,100.0,vacation,individual,10000,60,18.45,256.39,D,Current
sql report developer,0.0,TX,RENT,88000.0,Source Verified,20.45,0,,50,100.0,debt_consolidation,individual,25000,60,6.07,484.14,A,Current
deli manager,4.0,NJ,RENT,75000.0,Verified,16.06,0,69.0,32,77.8,moving,individual,3200,36,11.98,106.26,B,Current
sr software engineer,5.0,CA,MORTGAGE,168000.0,Verified,30.87,0,,21,100.0,debt_consolidation,individual,15000,36,10.9,490.38,B,Current
sales department supervisor ,2.0,DC,RENT,40000.0,Not Verified,6.15,0,,19,100.0,debt_consolidation,individual,8500,36,11.98,282.25,B,Current
sales/service ,5.0,AL,MORTGAGE,165000.0,Source Verified,14.91,0,,17,100.0,debt_consolidation,individual,35000,60,12.62,789.57,C,Current
regional operations manager,3.0,OH,MORTGAGE,52000.0,Not Verified,30.33,0,,18,100.0,major_purchase,individual,18000,60,10.9,390.47,B,Current
nurse practitioner ,2.0,OH,MORTGAGE,98000.0,Not Verified,11.34,0,,26,100.0,credit_card,individual,10000,36,5.32,301.15,A,Current
field supervisor,4.0,CA,RENT,55000.0,Not Verified,19.42,0,57.0,35,97.1,credit_card,individual,4000,36,11.98,132.82,B,Current
rn,10.0,NJ,MORTGAGE,72000.0,Verified,13.48,0,,28,100.0,debt_consolidation,individual,30000,60,19.03,778.72,D,Current
,,MO,MORTGAGE,75000.0,Not Verified,22.54,0,,72,100.0,credit_card,joint,8500,36,6.07,258.86,A,Current
senior paralegal,10.0,TX,MORTGAGE,160000.0,Source Verified,12.48,0,28.0,28,88.9,debt_consolidation,individual,4000,36,13.59,135.92,C,Current
,,WA,RENT,25000.0,Not Verified,27.7,0,69.0,15,93.3,debt_consolidation,individual,8000,36,12.61,268.06,C,Current
senior partner,0.0,CA,RENT,375000.0,Verified,13.82,0,,14,100.0,debt_consolidation,individual,35000,36,14.07,1197.41,C,Current
,,ID,OWN,72000.0,Verified,25.96,0,39.0,34,91.2,debt_consolidation,individual,35000,36,12.62,1172.9,C,Current
clerk,10.0,CA,MORTGAGE,39000.0,Source Verified,22.09,0,,35,96.2,debt_consolidation,individual,14000,60,21.45,382.3,D,Current
sr project manager,0.0,CA,RENT,200000.0,Source Verified,8.41,1,10.0,22,95.2,debt_consolidation,individual,17000,36,23.88,665.89,E,Fully Paid
,,GA,MORTGAGE,72000.0,Verified,20.1,0,,19,100.0,major_purchase,individual,12000,36,9.44,384.06,B,Current
,,MD,MORTGAGE,95000.0,Not Verified,22.33,0,,36,100.0,credit_card,individual,10000,36,6.08,304.59,A,Current
claims adjuster ,2.0,KS,RENT,42700.0,Not Verified,17.09,0,33.0,11,36.4,debt_consolidation,individual,6300,36,21.85,240.12,D,Current
msw social worker,3.0,CA,RENT,58000.0,Source Verified,6.31,0,,11,100.0,debt_consolidation,individual,20000,60,7.34,399.25,A,Current
,,NE,OWN,25000.0,Source Verified,20.07,0,,16,100.0,credit_card,individual,8400,36,14.07,287.38,C,Current
maintenance ,10.0,TX,MORTGAGE,35000.0,Verified,8.95,0,26.0,34,97.1,debt_consolidation,joint,30000,60,11.99,667.19,B,Current
,,NC,RENT,24000.0,Source Verified,5.5,0,35.0,12,75.0,debt_consolidation,individual,3600,36,7.97,112.77,A,Current
concierge,10.0,NJ,MORTGAGE,92000.0,Not Verified,5.54,1,7.0,13,69.2,debt_consolidation,individual,8000,36,11.98,265.64,B,Current
,,OK,MORTGAGE,0.0,Not Verified,,1,13.0,20,90.0,home_improvement,joint,24000,60,17.47,602.55,D,Current
housekeeper,8.0,MA,MORTGAGE,40758.0,Source Verified,31.51,0,,37,100.0,debt_consolidation,individual,20000,60,23.87,573.86,E,Current
loss recovery specialist ,7.0,CA,RENT,103000.0,Source Verified,6.58,0,71.0,37,97.2,other,individual,30000,36,7.35,931.13,A,Fully Paid
social worker,8.0,CA,RENT,80000.0,Verified,17.04,1,7.0,19,73.7,debt_consolidation,individual,20000,36,16.02,703.34,C,Current
purchasing assistance,4.0,FL,MORTGAGE,43000.0,Not Verified,16.33,0,74.0,28,95.7,debt_consolidation,individual,5000,36,10.9,163.46,B,Current
truck driver,8.0,FL,MORTGAGE,72000.0,Not Verified,26.38,0,48.0,24,95.7,debt_consolidation,individual,25000,60,12.61,563.85,C,Current
